occupants,plug_loads_other,plug_loads_tv,lighting_interior,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
0.333,0.647,0.0724,0.185,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0756,0.181,0.0,0.0,0.0,0.0,0.087,0,0,0,0
0.333,0.647,0.0759,0.181,0.0,0.0,0.0,0.0,0.087,0,0,0,0
0.333,0.647,0.0759,0.181,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0759,0.181,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.644,0.727,0.148,0.301,0.0,0.0,0.0,0.933,0.0,0,0,0,0
0.667,0.732,0.153,0.31,0.0,0.0,0.0,0.0667,0.0,0,0,0,0
0.667,0.732,0.153,0.31,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.153,0.31,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.161,0.315,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.162,0.315,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.162,0.315,0.0,0.0,0.0,0.0,0.174,0,0,0,0
0.667,0.732,0.162,0.315,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.757,0.179,0.345,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.758,0.181,0.347,0.0,0.0,0.0,0.0,0.435,0,0,0,0
0.667,0.758,0.181,0.347,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.758,0.181,0.347,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.795,0.221,0.422,0.0,0.0,0.0,0.0,0.435,0,0,0,0
0.667,0.797,0.224,0.427,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.356,0.687,0.127,0.251,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.679,0.12,0.238,0.0,0.0,0.0,0.0,0.087,0,0,0,0
0.333,0.698,0.143,0.301,0.0,0.0,0.0,0.0,0.087,0,0,0,0
0.333,0.699,0.145,0.305,0.0,0.0,0.0,0.933,0.0,0,0,0,0
0.333,0.699,0.145,0.305,0.0,0.0,0.0,1.0,0.0,0,0,0,0
0.333,0.699,0.145,0.305,0.0,0.0,0.0,0.133,0.0,0,0,0,0
0.333,0.705,0.188,0.358,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.705,0.191,0.362,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.705,0.191,0.362,0.0,0.0,0.0,0.0,0.087,0,0,0,0
0.644,0.839,0.354,0.653,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.837,0.501,0.668,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.978,0.964,0.741,0.957,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.973,0.758,0.977,0.0,0.0,0.0,0.0,0.087,0,0,0,0
1.0,0.973,0.758,0.977,0.0,0.0,0.0,0.0,0.087,0,0,0,0
1.0,0.937,0.924,0.81,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.798,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.798,0.0,0.0,0.0,0.0,0.196,0,0,0,0
1.0,0.934,0.936,0.798,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.862,0.89,0.615,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.857,0.887,0.602,0.0,0.0,0.0,0.0,0.203,0,0,0,0
0.689,0.765,0.616,0.43,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.758,0.596,0.418,0.0,0.0,0.0,0.0,0.0798,0,0,0,0
0.667,0.71,0.378,0.368,0.0,0.0,0.0,0.0,0.0798,0,0,0,0
0.667,0.706,0.363,0.365,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.706,0.363,0.365,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.706,0.363,0.365,0.0,0.0,0.0,0.0,0.087,0,0,0,0
0.667,0.621,0.106,0.132,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.614,0.0879,0.116,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.614,0.0879,0.116,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.614,0.0879,0.116,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.608,0.0454,0.0768,0.0,0.0,0.0,0.0,0.087,0,0,0,0
0.667,0.608,0.0424,0.074,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.978,0.651,0.0671,0.097,0.0,0.0,0.0,0.0,0.0858,0,0,0,0
0.689,0.611,0.0441,0.0757,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.608,0.0271,0.0587,0.0,0.0,0.0,0.0,0.215,0,0,0,0
